Customer,Address,Phone,Personnummer,BankAccount
Sofie Ibrahim,"Ängsvägen 03, 14010 Gävle",061-608 60 88,400118-5901,SE8902EPWK73250364544965
Sofie Ibrahim,"Ängsvägen 03, 14010 Gävle",061-608 60 88,400118-5901,SE8902IDSK51225196610969
Maria Lund,"Idrottsgatan 29, 95515 Eskilstuna",011-396 09 07,960709-2138,SE8902XPHQ15953762308017
Maria Lund,"Idrottsgatan 29, 95515 Eskilstuna",011-396 09 07,960709-2138,SE8902VBHN50052224387585
Camilla Johansson,"Åkertorget 069, 39757 Motala",0861-196 16,940125-0585,SE8902IQRO13056391101908
Hanna Hassan,"Villavägen 3, 86247 Kristianstad",037-883 90 90,410710-9094,SE8902GXLB05514229654020
Hanna Hassan,"Villavägen 3, 86247 Kristianstad",037-883 90 90,410710-9094,SE8902KWAF90270853352878
Hanna Hassan,"Villavägen 3, 86247 Kristianstad",037-883 90 90,410710-9094,SE8902MLNA56994057710583
Hanna Hassan,"Villavägen 3, 86247 Kristianstad",037-883 90 90,410710-9094,SE8902JIJC96071565969922
Lova Sundberg-Olsson,"Storstigen 811, 77717 Kristianstad",096-473 28 15,970509-1354,SE8902BWXT39949824641151
Lova Sundberg-Olsson,"Storstigen 811, 77717 Kristianstad",096-473 28 15,970509-1354,SE8902TKNC87869236455689
Lova Sundberg-Olsson,"Storstigen 811, 77717 Kristianstad",096-473 28 15,970509-1354,SE8902PSRJ65756431691707
Anna Rosenberg,"Ekgatan 995, 22276 Östersund",024-65 61 12,460430-5393,SE8902SILE68578227700598
Anna Rosenberg,"Ekgatan 995, 22276 Östersund",024-65 61 12,460430-5393,SE8902UTKP18439002370878
Anna Rosenberg,"Ekgatan 995, 22276 Östersund",024-65 61 12,460430-5393,SE8902HQID54921038055598
Mary Persson,"Järnvägsstigen 4, 45736 Östersund",08-921 70 79,650907-0865,SE8902ZWKL91581622045409
Mary Persson,"Järnvägsstigen 4, 45736 Östersund",08-921 70 79,650907-0865,SE8902NHEC01255630352421
Stina Jansson,"Björkgatan 6, 17233 Mölndal",0829-327 34,970320-1955,SE8902HRZI51889347255465
Stina Jansson,"Björkgatan 6, 17233 Mölndal",0829-327 34,970320-1955,SE8902AVQC54172602808950
Mari Granath Åkesson,"Ringvägen 046, 63456 Karlstad",08-764 060 43,390120-3251,SE8902YHDH55973704252760
Mari Granath Åkesson,"Ringvägen 046, 63456 Karlstad",08-764 060 43,390120-3251,SE8902BABM26306156053804
Mari Granath Åkesson,"Ringvägen 046, 63456 Karlstad",08-764 060 43,390120-3251,SE8902UNAU13611272599268
Kerstin Andersson,"Kyrkgatan 214, 41710 Landskrona",018-68 77 32,890713-4053,SE8902JFQL02168511886094
Kerstin Andersson,"Kyrkgatan 214, 41710 Landskrona",018-68 77 32,890713-4053,SE8902COVG23577172278709
Kerstin Andersson,"Kyrkgatan 214, 41710 Landskrona",018-68 77 32,890713-4053,SE8902HWHC81157429988113
Maria Eklund,"Strandgatan 860, 99872 Mölndal",062-56 88 13,410316-8359,SE8902IDYW61560887680926
Amanda Lundgren,"Parktorget 58, 26034 Mölndal",08-115 654 00,540225-7553,SE8902VBXW33852287376238
Margareta Eriksson,"Parkgatan 083, 83788 Göteborg",091-978 15 65,860806-5499,SE8902PLTU47854504283727
Anna Andersson,"Ringstigen 91, 55006 Varberg",08-11 67 41,551226-2535,SE8902QBPI92232356394837
Anna Andersson,"Ringstigen 91, 55006 Varberg",08-11 67 41,551226-2535,SE8902NPMZ64718534936104
Laila Fransson Hedlund,"Åkertorget 022, 19742 Lidköping",067-40 00 26,960812-8352,SE8902ERJA13877835143324
Agnes Karlsson,"Stationstorget 867, 86539 Skövde",031-61 94 36,491206-5150,SE8902OKVE09579666832306
Elsa Svensson,"Björkgränd 34, 11776 Umeå",08-80 24 81,920430-0215,SE8902BPMW61406251979814
Elsa Svensson,"Björkgränd 34, 11776 Umeå",08-80 24 81,920430-0215,SE8902YLGE04073464233597
Kristina Åström,"Ängsgränd 76, 38179 Uddevalla",0684-865 67,590612-4861,SE8902TCZL47145018856917
Gunnel Pettersson,"Trädgårdsgatan 84, 30993 Malmö",0400-369 09,680414-8994,SE8902ZNRZ32368916134263
Gunnel Pettersson,"Trädgårdsgatan 84, 30993 Malmö",0400-369 09,680414-8994,SE8902WSHS28438837480311
Cecilia Ottosson Lindblom,"Fabrikstorget 009, 16221 Trollhättan",062-619 00 20,680912-5039,SE8902OLFT37200388827050
Cecilia Ottosson Lindblom,"Fabrikstorget 009, 16221 Trollhättan",062-619 00 20,680912-5039,SE8902JQHT00463203687003
Cecilia Ottosson Lindblom,"Fabrikstorget 009, 16221 Trollhättan",062-619 00 20,680912-5039,SE8902IIVG09252145366202
Ester Ekelund,"Åkergatan 231, 83376 Norrköping",08-83 48 04,380518-3252,SE8902EYGF77551822415743
Erika Wiberg Nilsson,"Stortorget 8, 83044 Östersund",019-396 62 36,690811-8372,SE8902YVWX44120455116841
Erika Wiberg Nilsson,"Stortorget 8, 83044 Östersund",019-396 62 36,690811-8372,SE8902DQWP79606697709694
Erika Wiberg Nilsson,"Stortorget 8, 83044 Östersund",019-396 62 36,690811-8372,SE8902XXCG81260198384509
Edit Ahlström-Samuelsson,"Skolvägen 425, 75756 Växjö",08-190 01 56,040605-9147,SE8902UTYY22254486734176
Madeleine Larsson Lundström,"Trädgårdsstigen 574, 45955 Malmö",08-44 41 50,950821-8626,SE8902EWZR85142291879165
Ellen Nilsson,"Parkvägen 543, 51729 Falun",041-80 39 83,000807-9626,SE8902KLMT84633622382072
Ellen Nilsson,"Parkvägen 543, 51729 Falun",041-80 39 83,000807-9626,SE8902DBWG37143242474670
Maj-Britt Hagberg-Bergström,"Kvarngatan 389, 47183 Sandviken",08-696 529 01,411210-1656,SE8902MTEW80340871788369
Maj-Britt Hagberg-Bergström,"Kvarngatan 389, 47183 Sandviken",08-696 529 01,411210-1656,SE8902WSLA24954889786348
Maj-Britt Hagberg-Bergström,"Kvarngatan 389, 47183 Sandviken",08-696 529 01,411210-1656,SE8902VJHZ33855900402507
Louise Blomqvist,"Furuvägen 38, 87020 Motala",0749-82 98 86,030603-7102,SE8902GFAS09862022036004
Louise Blomqvist,"Furuvägen 38, 87020 Motala",0749-82 98 86,030603-7102,SE8902IWLJ80369151603079
Stina Larsson Andersson,"Bäckgränd 61, 45259 Nyköping",068-89 02 55,980203-2699,SE8902AORR62231578413137
Stina Larsson Andersson,"Bäckgränd 61, 45259 Nyköping",068-89 02 55,980203-2699,SE8902UOQA63786044169527
Kristina Ekman Gustafsson,"Skogsvägen 668, 13429 Skellefteå",0973-690 10,661104-6993,SE8902TJBO76009734317061
Kristina Ekman Gustafsson,"Skogsvägen 668, 13429 Skellefteå",0973-690 10,661104-6993,SE8902KIDF78947091109600
Kristina Brandt,"Industrigatan 1, 34708 Falun",0940-48 36 42,890522-1597,SE8902FUJI48043244293392
